Country,City,Latitude,Longitude,Date,Max Temperature,Min Temperature,Wind Speed,Humidity,Cloudiness
RE,saint-pierre,-21.3393,55.4781,1639872952,22.82,21.21,3.09,70,0
TD,bokoro,12.3807,17.0568,1639872952,19.88,19.88,5.12,27,43
RU,kamenka,51.3223,42.7678,1639872953,-2.92,-2.92,3.2,96,99
US,lompoc,34.6391,-120.4579,1639872953,19.08,11.91,4.12,65,1
CA,clyde river,70.4692,-68.5914,1639872953,-15.87,-15.87,6.69,85,100
VN,yen bai,21.7,104.8667,1639872708,14.32,14.32,0.45,69,66
IN,kavaratti,10.5669,72.642,1639872953,27.6,27.6,5.26,69,42
ZA,richards bay,-28.783,32.0377,1639872954,16.67,16.67,2.28,77,100
BO,boyuibe,-20.4167,-63.2833,1639872954,24.98,24.98,1.07,43,100
KR,kijang,35.2442,129.2139,1639872954,2.85,2.85,4.5,64,6
NO,oksfjord,70.2396,22.3479,1639872954,1.51,-1.67,1.84,97,100
AI,the valley,18.217,-63.0578,1639872955,26.01,25.08,4.12,78,20
FI,iisalmi,63.5592,27.1907,1639872955,0.01,0.01,3.42,94,80
GL,narsaq,60.9167,-46.05,1639872955,8.12,8.12,3.08,75,100
MU,quatre cocos,-20.2078,57.7625,1639872955,22.83,22.83,0.46,77,45
TZ,micheweni,-4.9667,39.8333,1639872883,26.76,26.76,2.04,79,8
AU,port macquarie,-31.4333,152.9167,1639872703,29.98,29.38,7.69,68,48
AU,victor harbor,-35.5667,138.6167,1639872956,21.93,19.44,2.24,68,67
RU,petropavlovsk-kamchatskiy,53.0452,158.6483,1639872957,-15.67,-15.67,3.0,61,0
AO,luanda,-8.8368,13.2343,1639872957,25.0,25.0,3.09,94,75
US,daphne,30.6035,-87.9036,1639872957,23.27,19.03,2.57,75,90
PK,sann,26.0418,68.1378,1639872957,5.95,5.95,1.15,18,26
BR,amapa,1.0,-52.0,1639872958,25.14,25.14,1.78,78,98
PG,vanimo,-2.6741,141.3028,1639872958,29.43,29.43,1.21,67,88
BY,horki,54.2861,30.9842,1639872958,1.61,1.61,7.16,99,100
RU,leshukonskoye,64.8989,45.7622,1639872958,-17.98,-17.98,2.25,98,99
GL,nanortalik,60.1432,-45.2371,1639872958,2.09,2.09,12.48,96,100
GB,oban,56.4127,-5.4706,1639872959,5.87,5.87,0.77,80,88
US,eureka,40.8021,-124.1637,1639872959,11.21,9.3,3.14,78,100
JP,kurayoshi,35.4333,133.8167,1639872959,5.95,4.9,5.85,83,83
NO,setermoen,68.861,18.3486,1639872960,3.02,0.98,2.64,98,100
IN,radhanpur,23.8333,71.6,1639872960,13.26,13.26,3.16,29,0
RU,aksha,50.2814,113.2867,1639872960,-13.62,-13.62,2.61,85,45
NE,ayorou,14.7308,0.9174,1639872960,20.73,20.73,4.94,17,25
CL,coihaique,-45.5752,-72.0662,1639872961,18.97,18.34,3.6,55,20
RU,okhotsk,59.3833,143.3,1639872961,-20.61,-20.61,5.75,98,99
KG,karakol,42.4907,78.3936,1639872961,-6.89,-6.89,2.69,57,66
US,nantucket,41.2835,-70.0995,1639872961,7.2,4.42,3.6,88,90
FO,vestmanna,62.1564,-7.1664,1639872962,6.51,6.51,2.06,100,90
CA,iroquois falls,48.7669,-80.6831,1639872962,-13.92,-13.92,1.78,94,99
ID,payo,-3.7508,103.6372,1639872962,23.64,23.64,0.75,94,100
NZ,kaeo,-35.1,173.7833,1639872962,25.18,25.18,2.96,56,0
CA,fort frances,48.5999,-93.4003,1639872963,-12.88,-13.86,2.57,76,90
EG,matay,28.419,30.7792,1639872915,10.82,10.82,3.35,61,1
RU,chagoda,59.164,35.3285,1639872963,-2.32,-2.32,1.45,98,100
RU,idritsa,56.3316,28.8988,1639872963,4.3,4.3,6.92,96,100
RU,verkhoturye,58.8627,60.8054,1639872964,-10.21,-10.21,2.39,95,100
US,westport,41.1415,-73.3579,1639872964,9.33,2.04,4.12,98,90
YT,bandrele,-12.9067,45.1914,1639872964,24.86,24.86,1.54,88,0
ID,boyolangu,-8.1181,111.8935,1639872964,26.13,26.13,0.59,87,100
IR,kashan,33.9831,51.4364,1639872883,7.66,7.66,0.49,55,51
VN,cam ranh,11.9214,109.1591,1639872965,22.98,22.98,7.72,73,75
ID,tual,-5.6667,132.75,1639872965,29.23,29.23,1.39,68,100
SA,faya,18.3851,42.4509,1639872965,13.29,13.06,1.74,58,17
MU,grand gaube,-20.0064,57.6608,1639872966,22.99,22.99,0.7,82,11
US,saint marys,30.7305,-81.5465,1639872967,23.06,20.01,4.63,92,1
SN,dakar,14.6937,-17.4441,1639872967,24.07,23.49,10.8,78,0
YE,lahij,13.1667,44.5833,1639872967,20.99,20.99,2.91,78,67
US,ironton,38.5368,-82.6829,1639872967,15.08,7.56,4.63,97,90
US,kalispell,48.1958,-114.3129,1639872968,-1.65,-6.84,0.0,88,90
US,juneau,58.3019,-134.4197,1639872968,-1.55,-8.97,0.0,91,75
PE,papayal,-4.0761,-80.7361,1639872968,24.11,24.11,1.76,75,100
CN,zhuhai,22.2769,113.5678,1639872968,16.66,13.84,9.26,55,20
CA,port-cartier,50.0334,-66.8654,1639872969,-9.58,-13.88,3.3,86,16
US,watertown,42.3709,-71.1828,1639872969,4.08,-0.75,0.89,92,90
MV,hithadhoo,-0.6,73.0833,1639872969,27.66,27.66,1.34,73,100
VE,san cristobal,7.7669,-72.225,1639872969,21.1,21.1,0.94,91,95
RU,proletarsk,46.7031,41.7192,1639872970,0.21,0.21,5.2,77,100
MU,cap malheureux,-19.9842,57.6142,1639872970,23.04,23.04,0.72,82,9
NO,snasa,64.2457,12.3778,1639872970,1.51,1.51,4.85,98,100
BR,senador pompeu,-5.5881,-39.3717,1639872970,28.37,28.37,4.79,61,100
